,node_0,node_1,node_2,node_3,node_4
135,45.7,68.4,-51.9,0.0,54.0
136,46.3,67.7,-48.4,0.0,54.0
137,52.5,72.0,47.2,34.2,49.6
138,49.35,72.1,47.2,33.7,50.1
139,49.8,72.7,33.1,0.0,49.3
140,49.7,72.7,31.6,0.0,51.2
141,51.349999999999994,70.7,34.9,29.7,47.5
142,50.6,70.7,36.4,30.0,47.5
143,52.849999999999994,76.0,32.1,33.3,49.2
144,54.599999999999994,76.1,29.1,33.5,49.5
145,54.1,73.1,31.8,40.9,42.4
146,55.9,73.1,31.5,40.9,42.4
147,57.099999999999994,70.2,27.3,42.5,42.0
148,57.05,71.1,26.1,43.1,42.0
149,61.0,69.5,24.6,44.6,52.9
150,60.45,69.4,23.5,47.3,53.0
151,60.85,67.7,25.4,32.9,54.7
152,61.7,67.8,26.3,32.5,54.7
153,64.5,60.8,31.4,-31.2,54.8
154,63.5,64.4,32.3,30.5,52.6
155,58.1,59.6,38.3,37.1,56.2
156,60.3,59.4,38.6,37.5,56.3
157,61.5,63.4,31.1,-35.0,55.7
158,61.849999999999994,63.2,30.7,-35.1,55.8
159,64.95,64.5,37.1,-31.1,60.8
160,63.15,63.4,35.2,-30.8,60.7
161,56.550000000000004,53.9,41.3,-35.8,59.5
162,57.05,54.4,40.8,-35.8,59.3
163,57.150000000000006,54.1,36.6,-33.0,61.1
164,57.55,54.7,37.6,-33.1,59.3
165,51.65,57.8,0.0,-34.9,66.3
166,51.8,57.4,0.0,-34.9,64.4
167,52.150000000000006,62.6,0.0,-31.1,54.6
168,53.0,63.7,0.0,-31.1,54.4
169,60.400000000000006,62.9,0.0,-36.3,64.3
170,60.55,62.7,0.0,-34.5,64.3
171,61.1,62.5,0.0,-32.0,58.7
172,61.199999999999996,62.5,0.0,-31.7,58.6
173,69.6,62.8,32.2,-31.8,59.2
174,68.7,64.8,35.5,-32.1,63.9
175,71.3,63.0,-25.8,-30.9,58.9
176,70.8,62.2,-26.5,-31.1,52.2
177,81.0,59.8,32.1,30.5,63.3
178,81.8,59.8,32.1,31.1,63.4
179,80.7,59.7,0.0,31.0,60.0
180,81.1,59.0,0.0,31.9,60.0
181,80.4,68.0,0.0,30.0,57.0
